competencia;tp_ocde;chave_ies;co_ies;co_curso;co_municipio;tp_categoria_administrativa;ano_funcionamento;qt_matricula_total;qt_ingresso_total;qt_concluinte_total;qt_vaga_total;qt_inscrito_total
1995;Medicina;496_1995;496;317;140010;ERRO;1995;45,0;30,0;0,0;30;374
1995;Fisioterapia;508_1995;508;301;330455;ERRO;1995;1402,0;150,0;270,0;150;877
1995;Odontologia;520_1995;520;313;312770;ERRO;1995;417,0;101,0;86,0;100;1027
1995;Odontologia;562_1995;562;302;354870;ERRO;1995;613,0;94,0;103,0;100;1219
1995;Medicina;580_1995;580;301;310560;ERRO;1995;343,0;64,0;48,0;64;1419
1995;Medicina;652_1995;652;309;411370;ERRO;1995;471,0;62,0;78,0;60;2634
1995;Fisioterapia;716_1995;716;323;410690;ERRO;1995;419,0;140,0;70,0;140;415
1995;Odontologia;755_1995;755;309;353060;ERRO;1995;1015,0;214,0;176,0;200;2151
1995;Odontologia;788_1995;788;317;130260;ERRO;1995;131,0;30,0;31,0;30;630
1995;Odontologia;802_1995;802;301;313380;ERRO;1995;704,0;100,0;100,0;100;1562
1995;Odontologia;810_1995;810;306;354140;ERRO;1995;789,0;208,0;177,0;200;765
1995;Medicina;811_1995;811;315;350950;ERRO;1995;549,0;89,0;89,0;90;10816
1995;Medicina;825_1995;825;301;431490;ERRO;1995;565,0;91,0;98,0;88;1610
1995;Odontologia;868_1995;868;320;350760;ERRO;1995;819,0;200,0;204,0;200;2042
1995;Medicina;880_1995;880;322;420540;ERRO;1995;612,0;50,0;98,0;100;2979
1995;Medicina;8_1995;8;325;431490;ERRO;1995;763,0;70,0;141,0;140;3058
1995;Fisioterapia;38_1995;38;322;350600;ERRO;1995;101,0;50,0;0,0;50;261
1995;Medicina;103_1995;103;312;317020;ERRO;1995;1014,0;89,0;160,0;80;5769
1995;Odontologia;138_1995;138;310;270430;ERRO;1995;309,0;69,0;41,0;60;629
1995;Medicina;149_1995;149;314;330455;ERRO;1995;1498,0;181,0;176,0;160;4062
1995;Odontologia;149_1995;149;315;330455;ERRO;1995;956,0;120,0;192,0;120;897
1995;Fisioterapia;150_1995;150;346;261160;ERRO;1995;291,0;72,0;43,0;60;775
1995;Odontologia;203_1995;203;310;355030;ERRO;1995;794,0;200,0;200,0;200;4129
1995;Odontologia;212_1995;212;309;330350;ERRO;1995;390,0;80,0;46,0;80;593
1995;Fisioterapia;234_1995;234;314;500270;ERRO;1995;160,0;80,0;0,0;80;737
1995;Medicina;307_1995;307;330;310620;ERRO;1995;1817,0;326,0;314,0;320;6734
1995;Fisioterapia;366_1995;366;302;520870;ERRO;1995;85,0;63,0;0,0;60;1117
1995;Medicina;400_1995;400;311;355030;ERRO;1995;372,0;60,0;65,0;60;2240
1995;Medicina;405_1995;405;301;330100;ERRO;1995;550,0;96,0;586,0;96;1297
1995;Medicina;448_1995;448;312;314330;ERRO;1995;282,0;40,0;88,0;40;1796
1995;Medicina;519_1995;519;301;351110;ERRO;1995;413,0;64,0;68,0;64;3676
1995;Odontologia;533_1995;533;310;330330;ERRO;1995;369,0;81,0;72,0;80;3075
1995;Fisioterapia;642_1995;642;302;310620;ERRO;1995;215,0;40,0;38,0;40;1012
1995;Medicina;655_1995;655;303;431490;ERRO;1995;454,0;86,0;68,0;74;2245
1995;Odontologia;716_1995;716;322;410690;ERRO;1995;613,0;140,0;124,0;140;1477
1995;Medicina;719_1995;719;301;313240;ERRO;1995;354,0;60,0;50,0;60;1598
1995;Odontologia;780_1995;780;320;211130;ERRO;1995;239,0;48,0;41,0;48;997
1995;Medicina;780_1995;780;332;211130;ERRO;1995;419,0;70,0;121,0;70;2166
1995;Fisioterapia;784_1995;784;328;330490;ERRO;1995;304,0;238,0;0,0;240;637
1995;Odontologia;830_1995;830;319;354990;ERRO;1995;111,0;60,0;0,0;60;217
1995;Medicina;862_1995;862;301;354980;ERRO;1995;387,0;64,0;67,0;64;5590
1995;Medicina;877_1995;877;301;352900;ERRO;1995;489,0;80,0;78,0;80;5341
1995;Odontologia;8_1995;8;322;431490;ERRO;1995;333,0;44,0;69,0;88;2289
1995;Medicina;66_1995;66;301;354780;ERRO;1995;602,0;100,0;93,0;100;2560
1995;Fisioterapia;82_1995;82;309;230440;ERRO;1995;1078,0;93,0;222,0;90;955
1995;Odontologia;97_1995;97;303;310620;ERRO;1995;994,0;140,0;232,0;120;3319
1995;Odontologia;103_1995;103;314;317020;ERRO;1995;684,0;82,0;138,0;80;3010
1995;Medicina;139_1995;139;301;320530;ERRO;1995;830,0;120,0;114,0;120;1954
1995;Medicina;150_1995;150;330;261160;ERRO;1995;861,0;143,0;102,0;140;4088
1995;Fisioterapia;209_1995;209;320;430160;ERRO;1995;424,0;78,0;76,0;60;132
1995;Odontologia;316_1995;316;333;150140;ERRO;1995;481,0;90,0;41,0;90;1008
1995;Odontologia;353_1995;353;305;313820;ERRO;1995;218,0;60,0;62,0;60;940
1995;Odontologia;363_1995;363;308;350950;ERRO;1995;382,0;90,0;79,0;90;1001
1995;Medicina;363_1995;363;306;350950;ERRO;1995;527,0;90,0;92,0;90;2678
1995;Odontologia;364_1995;364;311;431410;ERRO;1995;588,0;60,0;102,0;60;1585
1995;Odontologia;445_1995;445;312;500270;ERRO;1995;142,0;33,0;29,0;32;817
1995;Odontologia;472_1995;472;307;250400;ERRO;1995;272,0;59,0;57,0;60;1323
1995;Odontologia;509_1995;509;305;411990;ERRO;1995;299,0;60,0;63,0;60;1175
1995;Medicina;582_1995;582;329;410480;ERRO;1995;0,0;20,0;0,0;20;1644
1995;Medicina;609_1995;609;310;280670;ERRO;1995;430,0;70,0;74,0;70;1898
1995;Odontologia;645_1995;645;309;320530;ERRO;1995;288,0;30,0;70,0;60;1165
1995;Odontologia;652_1995;652;311;411370;ERRO;1995;242,0;42,0;48,0;40;1306
1995;Odontologia;655_1995;655;308;431490;ERRO;1995;295,0;75,0;67,0;75;1348
1995;Medicina;721_1995;721;302;354850;ERRO;1995;751,0;120,0;131,0;120;3265
1995;Odontologia;744_1995;744;301;260410;ERRO;1995;196,0;50,0;48,0;50;674
1995;Medicina;767_1995;767;301;315250;ERRO;1995;411,0;70,0;75,0;70;1749
1995;Medicina;790_1995;790;301;221100;ERRO;1995;352,0;55,0;52,0;50;1408
1995;Odontologia;790_1995;790;302;221100;ERRO;1995;237,0;42,0;47,0;40;714
1995;Odontologia;800_1995;800;314;355410;ERRO;1995;354,0;80,0;69,0;80;863
1995;Odontologia;811_1995;811;314;350950;ERRO;1995;337,0;80,0;74,0;80;3924
1995;Odontologia;821_1995;821;304;350330;ERRO;1995;365,0;90,0;91,0;90;1044
1995;Fisioterapia;853_1995;853;308;430610;ERRO;1995;406,0;50,0;52,0;50;227
1995;Odontologia;893_1995;893;309;355030;ERRO;1995;208,0;50,0;52,0;50;1530
1995;Medicina;893_1995;893;370;355030;ERRO;1995;1070,0;175,0;181,0;175;9046
